Date,Ingredient,Stock Level (kg/liters),Wastage (kg/liters)
2025-08-01,Rice,30,0.24
2025-08-01,Vegetables,13,3.69
2025-08-01,Chicken,35,2.71
2025-08-01,Eggs,29,1.9
2025-08-01,Bread,29,1.84
2025-08-01,Tea Leaves,44,3.61
2025-08-01,Milk,43,0.87
2025-08-01,Sugar,16,2.61
2025-08-02,Rice,18,3.95
2025-08-02,Vegetables,28,3.96
2025-08-02,Chicken,6,0.2
2025-08-02,Eggs,42,1.87
2025-08-02,Bread,16,1.54
2025-08-02,Tea Leaves,5,1.42
2025-08-02,Milk,29,3.54
2025-08-02,Sugar,21,0.76
2025-08-03,Rice,35,3.44
2025-08-03,Vegetables,29,1.28
2025-08-03,Chicken,46,3.93
2025-08-03,Eggs,29,1.7
2025-08-03,Bread,9,1.69
2025-08-03,Tea Leaves,19,0.6
2025-08-03,Milk,6,2.03
2025-08-03,Sugar,23,1.33
2025-08-04,Rice,7,3.07
2025-08-04,Vegetables,33,2.76
2025-08-04,Chicken,20,0.99
2025-08-04,Eggs,26,4.37
2025-08-04,Bread,8,4.14
2025-08-04,Tea Leaves,13,4.54
2025-08-04,Milk,39,3.18
2025-08-04,Sugar,13,3.42
2025-08-05,Rice,50,2.55
2025-08-05,Vegetables,28,1.12
2025-08-05,Chicken,16,1.74
2025-08-05,Eggs,14,0.32
2025-08-05,Bread,31,0.69
2025-08-05,Tea Leaves,5,2.2
2025-08-05,Milk,11,1.99
2025-08-05,Sugar,17,2.73
2025-08-06,Rice,27,1.78
2025-08-06,Vegetables,29,0.88
2025-08-06,Chicken,32,3.54
2025-08-06,Eggs,9,1.53
2025-08-06,Bread,39,4.09
2025-08-06,Tea Leaves,23,1.4
2025-08-06,Milk,42,2.91
2025-08-06,Sugar,21,3.97
2025-08-07,Rice,47,2.89
2025-08-07,Vegetables,43,3.81
2025-08-07,Chicken,47,4.66
2025-08-07,Eggs,22,0.83
2025-08-07,Bread,48,4.29
2025-08-07,Tea Leaves,37,2.36
2025-08-07,Milk,46,1.54
2025-08-07,Sugar,40,1.64
2025-08-08,Rice,37,3.08
2025-08-08,Vegetables,32,3.98
2025-08-08,Chicken,14,0.17
2025-08-08,Eggs,36,3.34
2025-08-08,Bread,27,1.32
2025-08-08,Tea Leaves,43,2.58
2025-08-08,Milk,36,4.07
