Date,Time,Average Wait Time (minutes)
2025-08-01,11:30,11
2025-08-01,12:00,7
2025-08-01,12:30,12
2025-08-01,13:00,7
2025-08-02,11:30,9
2025-08-02,12:00,6
2025-08-02,12:30,17
2025-08-02,13:00,11
2025-08-03,11:30,11
2025-08-03,12:00,9
2025-08-03,12:30,7
2025-08-03,13:00,11
2025-08-04,11:30,15
2025-08-04,12:00,7
2025-08-04,12:30,8
2025-08-04,13:00,12
2025-08-05,11:30,16
2025-08-05,12:00,11
2025-08-05,12:30,8
2025-08-05,13:00,14
2025-08-06,11:30,20
2025-08-06,12:00,20
2025-08-06,12:30,20
2025-08-06,13:00,9
2025-08-07,11:30,16
2025-08-07,12:00,9
2025-08-07,12:30,10
2025-08-07,13:00,20
2025-08-08,11:30,18
2025-08-08,12:00,8
2025-08-08,12:30,13
2025-08-08,13:00,16
2025-08-09,11:30,19
2025-08-09,12:00,13
2025-08-09,12:30,13
2025-08-09,13:00,7
2025-08-10,11:30,16
2025-08-10,12:00,8
2025-08-10,12:30,8
2025-08-10,13:00,15
2025-08-11,11:30,8
2025-08-11,12:00,20
2025-08-11,12:30,8
2025-08-11,13:00,5
2025-08-12,11:30,13
2025-08-12,12:00,20
2025-08-12,12:30,18
2025-08-12,13:00,16
2025-08-13,11:30,8
2025-08-13,12:00,7
2025-08-13,12:30,17
2025-08-13,13:00,11
2025-08-14,11:30,13
2025-08-14,12:00,16
2025-08-14,12:30,16
2025-08-14,13:00,15
2025-08-15,11:30,17
2025-08-15,12:00,10
2025-08-15,12:30,10
2025-08-15,13:00,12
2025-08-16,11:30,20
2025-08-16,12:00,15
2025-08-16,12:30,8
2025-08-16,13:00,9
2025-08-17,11:30,13
2025-08-17,12:00,16
2025-08-17,12:30,9
2025-08-17,13:00,14
2025-08-18,11:30,20
2025-08-18,12:00,15
2025-08-18,12:30,5
2025-08-18,13:00,11
2025-08-19,11:30,6
2025-08-19,12:00,20
2025-08-19,12:30,16
2025-08-19,13:00,8
2025-08-20,11:30,10
2025-08-20,12:00,17
2025-08-20,12:30,10
2025-08-20,13:00,6
2025-08-21,11:30,12
2025-08-21,12:00,13
2025-08-21,12:30,15
2025-08-21,13:00,14
