Student ID,Department,Dietary Preference,Average Daily Spend (LKR)
STU001,ICT,Vegan,929
STU002,ET,Vegan,982
STU003,ICT,Vegetarian,990
STU004,ET,Vegan,1167
STU005,ET,Vegetarian,911
STU006,ICT,Vegetarian,871
STU007,ET,Vegetarian,1198
STU008,ICT,Vegetarian,1153
STU009,ICT,Non-Vegetarian,1149
STU010,ET,Non-Vegetarian,936
STU011,BST,Vegan,1074
STU012,BST,Non-Vegetarian,963
STU013,ET,Vegan,1181
STU014,ET,Non-Vegetarian,1130
STU015,ICT,Vegetarian,930
STU016,ET,Vegetarian,890
STU017,ICT,Non-Vegetarian,969
STU018,BST,Non-Vegetarian,1022
STU019,ET,Vegetarian,1068
STU020,ET,Non-Vegetarian,1169
STU021,ICT,Non-Vegetarian,926
STU022,ET,Non-Vegetarian,1043
STU023,ICT,Non-Vegetarian,937
STU024,BST,Non-Vegetarian,1001
STU025,ICT,Vegan,834
STU026,BST,Non-Vegetarian,885
STU027,ET,Vegan,1172
STU028,ET,Vegetarian,856
STU029,BST,Vegan,899
STU030,BST,Vegetarian,884
STU031,ICT,Vegetarian,858
STU032,ICT,Vegan,1005
STU033,ICT,Vegetarian,1179
STU034,ICT,Non-Vegetarian,1182
STU035,BST,Vegetarian,823
STU036,ET,Vegetarian,906
STU037,ICT,Non-Vegetarian,1054
STU038,ICT,Vegan,1040
STU039,ET,Vegetarian,822
STU040,ET,Vegan,1114
STU041,BST,Vegetarian,1091
STU042,BST,Vegan,1080
STU043,ICT,Vegetarian,1011
STU044,ET,Vegetarian,917
STU045,ET,Vegan,950
STU046,ET,Vegetarian,893
STU047,ET,Vegan,802
STU048,BST,Non-Vegetarian,1135
STU049,ICT,Vegetarian,821
STU050,ET,Vegetarian,1164
STU051,BST,Non-Vegetarian,1168
STU052,BST,Non-Vegetarian,1157
STU053,ICT,Vegetarian,1103
STU054,ET,Vegan,828
STU055,BST,Non-Vegetarian,981
STU056,ICT,Vegan,1062
STU057,ET,Vegan,1056
STU058,BST,Vegetarian,1003
STU059,BST,Non-Vegetarian,1061
STU060,ET,Vegan,1177
STU061,ICT,Non-Vegetarian,1084
STU062,ET,Vegan,1136
STU063,ICT,Vegetarian,1159
STU064,ET,Vegetarian,1074
STU065,ICT,Vegan,1025
STU066,ET,Non-Vegetarian,999
STU067,BST,Non-Vegetarian,1009
STU068,ET,Vegan,889
STU069,BST,Vegan,1067
STU070,ET,Vegan,999
STU071,BST,Non-Vegetarian,934
STU072,ET,Non-Vegetarian,924
STU073,ET,Non-Vegetarian,1031
STU074,BST,Non-Vegetarian,1108
STU075,ICT,Non-Vegetarian,1052
STU076,ET,Non-Vegetarian,862
STU077,ET,Vegan,902
STU078,BST,Vegetarian,1014
STU079,BST,Vegetarian,1137
STU080,ICT,Vegetarian,879
STU081,ICT,Vegan,961
STU082,ICT,Non-Vegetarian,1122
STU083,ICT,Vegan,819
STU084,ICT,Vegetarian,1008
STU085,BST,Vegetarian,1096
STU086,ET,Vegan,986
STU087,ET,Vegetarian,843
STU088,ICT,Vegan,889
STU089,ICT,Vegetarian,869
STU090,ET,Vegan,1033
STU091,ET,Vegan,1126
STU092,ET,Vegetarian,1035
STU093,ICT,Non-Vegetarian,840
STU094,ET,Vegetarian,996
STU095,ET,Vegetarian,1148
STU096,BST,Vegetarian,1011
STU097,ICT,Vegetarian,879
STU098,ICT,Vegan,1102
STU099,ICT,Non-Vegetarian,928
STU100,BST,Non-Vegetarian,867
